-20		-1.9	-0.5	    0.4250	-1.7	-22	-24
-19		-3.1	 0.4	    0.4270	 0.0	-21	-22
-29		-1.5	 1.1	    0.4410	-2.3	-20	-21
-33		 0.2	 2.1	    0.4490	-5.2	-19	-20
-32		-5.8	 2.5	    0.4640	-0.3	-29	-19
-29		-4.8	 1.4	    0.4690	-1.9	-33	-29
-31		 4.3	-4.7	    0.4870	 0.2	-32	-33
-39		-4.4	 2.9	    0.4850	-3.3	-29	-32
-40		-6.1	 4.9	    0.4860	-3.8	-31	-29
-27		-6.3	 5.2	    0.4810	-3.4	-39	-31
-30		-5.2	 6.3	    0.4920	-2.1	-40	-39
-29		-5.7	 5.3	    0.4880	-3.2	-27	-40
-38		-4.4	 4.5	    0.4840	-4.9	-30	-27
-38		-5.1	 1.7	    0.4730	-2.5	-29	-30
-35		-3.6	 1.2	    0.4640	-2.9	-38	-29
-30		-5.7	 1.8	    0.4530	-2.2	-38	-38
-24		-3.2	-4.4	    0.4750	 2.1	-35	-38
-29		 1.5	-5.8	    0.4870	-2.1	-30	-35
-25		-2.2	 2.0	    0.4770	-3.2	-24	-30
-21		-6.5	 7.4	    0.4830	 1.4	-29	-24
-17		-5.1	 3.3	    0.5140	 2.5	-25	-29
-44		-7.7	 7.4	    0.5660	-1.3	-21	-25
-61		-6.1	 3.7	    0.5780	-7.4	-17	-21
-81		-5.8	 3.3	    0.5890	11.0	-44	-17
-78		-7.1	 7.1	    0.5790	-6.1	-61	-44
-86		-8.2	 5.4	    0.5950	-6.8	-81	-61
-104		-7.3	 0.5	    0.6090	-9.5	-78	-81
-105		-7.7	 0.6	    0.6060	-8.5	-86	-78
-91		-2.5	-1.5	    0.6340	-0.3	-104	-86
-78		 1.9	 1.7	    0.6710	 1.4	-105	-104
-69		-1.6	-0.6	    0.6440	 3.4	-91	-105
-72		-3.8	 2.0	    0.6450	 1.2	-78	-91
-64		-4.5	 2.2	    0.6370	 0.9	-69	-78
-52		-4.6	 2.5	    0.6320	-0.7	-72	-69
-48		-5.1	 0.3	    0.6210	-1.0	-64	-72
-42		-4.5	-0.8	    0.6240	 1.9	-52	-64
-40		-1.4	 4.2	    0.6360	 2.1	-48	-52
-38		-2.9	 0.0	    0.6170	 3.5	-42	-48
-37		-0.7	 2.1	    0.6260	 2.5	-40	-42
-39		-2.5	-1.6	    0.6050	 1.8	-38	-40
-38		-2.1	 1.6	    0.6030	 1.7	-37	-38
-38		-3.5	 0.2	    0.5910	 0.3	-39	-37
-35		-2.8	-0.5	    0.5890	 3.9	-38	-39
-33		-4.0	-1.0	    0.5810	 0.3	-38	-38
-33		-2.7	 3.4	    0.5810	 0.7	-35	-38
-34		-1.2	 3.9	    0.5750	 0.9	-33	-35
-33		-2.4	 2.0	    0.5610	 2.0	-33	-33
-34		-1.3 	 2.6 	    0.5710	 2.1	-34	-33
